platform,controller,trajectory,traj_double,traj_short,traj_spin,lookahead_time,time,traj_time,ref_time,comp_time,x,y,z,yaw,vx,vy,vz,x_ref,y_ref,z_ref,yaw_ref,vx_ref,vy_ref,vz_ref,p,q,r,throttle_input,p_input,q_input,r_input,cbf_v_throttle,cbf_v_p,cbf_v_q,cbf_v_r
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,10.0825,0.0811122,1.28111,0.0114766,0.418777,-1.45017,-2.87692,0.00158807,-0.0464702,0.0964776,-0.061161,0.195797,0.567154,-3,0,-0.548236,0.189266,0,0.0810018,0.00305987,-0.000114014,0.762282,0.727347,0.0597247,-0.0265499,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,10.1816,0.180176,1.38018,0.00826917,0.411325,-1.42292,-2.88552,0.00159406,-0.0483255,0.10374,-0.0914886,0.140673,0.583276,-3,0,-0.56382,0.13598,0,0.403995,0.0498724,-0.00383929,0.767206,0.73741,0.0814948,-0.0384647,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,10.3026,0.287808,1.48781,0.0132801,0.404364,-1.39935,-2.89798,0.00144204,-0.0542849,0.141226,-0.167949,0.0793364,0.594732,-3,0,-0.574894,0.07669,0,0.705854,0.0857147,-0.00978808,0.760617,0.610172,0.0846806,-0.0370598,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,10.3821,0.380623,1.58062,0.0172677,0.39525,-1.36724,-2.91938,0.00117667,-0.0688905,0.245591,-0.235784,0.02573,0.599448,-3,0,-0.579453,0.0248718,0,0.642884,0.0869874,-0.0164293,0.752882,0.442642,0.0782438,-0.029989,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,10.4933,0.478548,1.67855,0.013271,0.381223,-1.31232,-2.95189,0.000704115,-0.0968727,0.440002,-0.285951,-0.0310431,0.599196,-3,0,-0.57921,-0.0300076,0,0.432514,0.0794264,-0.0224173,0.742569,0.20548,0.0649533,-0.01947,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,10.6023,0.585027,1.78503,0.0157228,0.36674,-1.24975,-2.98039,0.000123054,-0.126279,0.629279,-0.298245,-0.0924435,0.592836,-3,0,-0.573061,-0.0893599,0,0.19471,0.0620107,-0.0245535,0.733941,-0.0304519,0.0482307,-0.00943537,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,10.696,0.675599,1.8756,0.0188909,0.347917,-1.15884,-3.0119,-0.000598941,-0.163018,0.850024,-0.292883,-0.143927,0.582482,-3,0,-0.563053,-0.139126,0,-0.030175,0.0462175,-0.0220974,0.729242,-0.197716,0.0330312,-0.00321236,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,10.7794,0.777961,1.97796,0.0188402,0.318977,-1.01218,-3.04899,-0.00134038,-0.214117,1.11739,-0.272385,-0.200764,0.565415,-3,0,-0.546555,-0.194067,0,-0.254665,0.0245432,-0.0162588,0.726648,-0.329567,0.0189885,0.00028838,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,10.8936,0.873472,2.07347,0.01864,0.300622,-0.919985,-3.06747,-0.00161746,-0.243375,1.24649,-0.259746,-0.252037,0.544497,-3,0,-0.526335,-0.24363,0,-0.355919,0.0128476,-0.0133152,0.725488,-0.436436,0.00376574,0.00143409,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,10.9775,0.976044,2.17604,0.0157979,0.261016,-0.725873,-3.09936,-0.00192301,-0.300005,1.44656,-0.239245,-0.304698,0.516874,-3,0,-0.499634,-0.294534,0,-0.511417,-0.0100403,-0.0078247,0.725777,-0.521678,-0.0174548,-0.00088234,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,11.1028,1.08435,2.28435,0.0169411,0.22826,-0.570916,-3.1205,-0.00198851,-0.340752,1.54767,-0.229621,-0.357044,0.482203,-3,0,-0.466119,-0.345134,0,-0.585755,-0.0278626,-0.0044978,0.72693,-0.546741,-0.032558,-0.0049801,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,11.18,1.17853,2.37853,0.0185613,0.182627,-0.366421,-3.1451,-0.00181421,-0.388345,1.61035,-0.223233,-0.399403,0.447747,-3,0,-0.432812,-0.386081,0,-0.613258,-0.043317,-0.000776028,0.727939,-0.535425,-0.0413665,-0.00852037,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,11.2855,1.28405,2.48405,0.0131203,0.136377,-0.178343,-3.16698,-0.00143575,-0.426754,1.59771,-0.220528,-0.44292,0.404749,-3,0,-0.391248,-0.428146,0,-0.581933,-0.0540325,-0.00327344,0.728957,-0.48018,-0.0523332,-0.0134804,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,11.3962,1.38267,2.58267,0.0120995,0.098734,-0.0399626,-3.18352,-0.00109904,-0.451393,1.54332,-0.218527,-0.479436,0.360751,-3,0,-0.348718,-0.463444,0,-0.525826,-0.0615986,-0.00470975,0.729411,-0.398891,-0.0586488,-0.016542,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,11.4812,1.47978,2.67978,0.0122596,0.0479496,0.125864,-3.20477,-0.000648775,-0.475972,1.42092,-0.212429,-0.511139,0.314224,-3,0,-0.303742,-0.49409,0,-0.434049,-0.0669836,-0.00724298,0.729219,-0.310244,-0.0605706,-0.0174089,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,11.5872,1.58575,2.78575,0.0124688,-0.000571718,0.260241,-3.22385,-0.000293279,-0.492047,1.26506,-0.201259,-0.540591,0.260311,-3,0,-0.251628,-0.522559,0,-0.327868,-0.0670891,-0.00886947,0.728635,-0.208804,-0.0603004,-0.0167717,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,11.6806,1.67918,2.87918,0.0147826,-0.0496013,0.372639,-3.24175,-6.04426e-05,-0.50078,1.07763,-0.18457,-0.561866,0.210492,-3,0,-0.203471,-0.543124,0,-0.22727,-0.0663219,-0.0101472,0.727955,-0.121194,-0.0593413,-0.0153429,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,11.7868,1.78536,2.98536,0.0123715,-0.102098,0.467479,-3.25885,8.64516e-05,-0.502622,0.851073,-0.160334,-0.580474,0.151821,-3,0,-0.146757,-0.561112,0,-0.109977,-0.0618417,-0.0135235,0.727166,-0.0232059,-0.0569343,-0.0128731,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,11.8957,1.88249,3.08249,0.0117269,-0.149604,0.52936,-3.27216,0.000101612,-0.497915,0.631172,-0.134318,-0.592152,0.0967294,-3,0,-0.0935029,-0.5724,0,-0.00363537,-0.058819,-0.0130515,0.72666,0.0576905,-0.0542652,-0.010234,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,12.0051,1.98862,3.18862,0.0149011,-0.207372,0.571186,-3.28481,-3.11211e-05,-0.483879,0.355678,-0.100322,-0.598944,0.0355767,-3,0,-0.03439,-0.578966,0,0.104674,-0.0552922,-0.011376,0.726497,0.115694,-0.0515269,-0.00786324,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,12.1,2.08749,3.28749,0.011045,-0.25178,0.578118,-3.29192,-0.000185521,-0.467047,0.145113,-0.0749206,-0.599606,-0.0217402,-3,0,0.0210151,-0.579605,0,0.167506,-0.0508072,-0.010633,0.726512,0.172885,-0.0485378,-0.00513765,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,12.192,2.17925,3.37925,0.0112515,-0.290516,0.566005,-3.29649,-0.000375752,-0.447574,-0.0339598,-0.0542741,-0.595323,-0.0747688,-3,0,0.0722748,-0.575465,0,0.222867,-0.0461942,-0.00967931,0.726747,0.206914,-0.0459822,-0.00311483,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,12.2953,2.28245,3.48245,0.0113412,-0.330072,0.535525,-3.29985,-0.000542133,-0.422073,-0.208718,-0.0362454,-0.584918,-0.133683,-3,0,0.129224,-0.565407,0,0.260207,-0.0454336,-0.00777959,0.727171,0.230271,-0.0426151,-0.00112365,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,12.4017,2.38771,3.58771,0.012463,-0.366506,0.489938,-3.30241,-0.000687642,-0.392211,-0.358737,-0.0231255,-0.568313,-0.192408,-3,0,0.18599,-0.549356,0,0.28001,-0.0380872,-0.00626456,0.7276,0.236253,-0.0394614,0.000250576,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,12.4797,2.47826,3.67826,0.0128167,-0.401925,0.427193,-3.30467,-0.000834213,-0.35522,-0.490346,-0.013776,-0.549317,-0.241352,-3,0,0.233302,-0.530994,0,0.283839,-0.0351306,-0.00277507,0.727966,0.232114,-0.0358302,0.0012106,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,12.5903,2.58886,3.78886,0.0125809,-0.435431,0.349546,-3.30617,-0.000924003,-0.311627,-0.594753,-0.00759643,-0.520427,-0.29859,-3,0,0.28863,-0.503067,0,0.272931,-0.0311328,-0.00104588,0.728329,0.21567,-0.0327284,0.00190252,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,12.6872,2.68582,3.88582,0.0108569,-0.458153,0.284156,-3.30673,-0.000901596,-0.274715,-0.650533,-0.00526519,-0.4902,-0.345983,-3,0,0.334442,-0.473849,0,0.253505,-0.0241458,0.000303086,0.728624,0.19188,-0.0284482,0.00218295,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,12.7837,2.78224,3.98224,0.0128261,-0.479041,0.210927,-3.30684,-0.000828244,-0.23265,-0.687096,-0.00414885,-0.455869,-0.390107,-3,0,0.377094,-0.440663,0,0.224457,-0.023619,0.00171782,0.728867,0.164461,-0.0253854,0.00217207,0,0,0,0
SIM,nr,CIRCLE_HORIZONTAL,DblSpd,Not Short,NoSpin,1.2,12.9018,2.88842,4.08842,0.0118533,-0.496154,0.138364,-3.30673,-0.000682883,-0.189264,-0.700748,-0.00396627,-0.4135,-0.434762,-3,0,0.42026,-0.399707,0,0.191848,-0.0186631,0.00217566,0.729064,0.129677,-0.0221218,0.00194087,0,0,0,0
