platform,controller,trajectory,traj_double,traj_short,traj_spin,time,traj_time,ref_time,comptime,x,y,z,yaw,vx,vy,vz,x_ref,y_ref,z_ref,yaw_ref,vx_ref,vy_ref,vz_ref,throttle_input,p_input,q_input,r_input,mpc_status,buffer_idx
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.0921,0.089995,0.089995,0.0020804,-0.0188678,0.00771461,-2.8718,-0.000310678,0.00425739,-0.00239306,-0.0612467,0.113031,0.11285,-3,0,1.25463,1.24861,0,0.698894,0.8,-0.8,-0.353004,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.1922,0.190005,0.190005,0.00212492,-0.0192088,0.00719701,-2.8772,-0.00189749,0.0250312,0.0158834,-0.0685407,0.2382,0.236505,-3,0,1.24769,1.22099,0,0.712092,0.8,-0.8,-0.40527,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.2921,0.289998,0.289998,0.00202339,-0.0153912,0.00998789,-2.88375,-0.00674349,0.0661912,0.0556294,-0.0749643,0.362409,0.35641,-3,0,1.23583,1.17411,0,0.724842,0.8,-0.8,-0.395598,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.3925,0.390001,0.390001,0.00250825,-0.00417595,0.0184803,-2.88995,-0.0231672,0.162664,0.139856,-0.0945381,0.4852,0.470705,-3,0,1.2191,1.10872,0,0.782704,0.588106,-0.8,-0.0301289,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.4922,0.489998,0.489998,0.00212687,0.0262504,0.0420544,-2.9033,-0.0537601,0.375044,0.320421,-0.203655,0.606068,0.577571,-3,0,1.19755,1.02584,0,0.80841,0.0910506,-0.559612,0.0569639,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.5921,0.590018,0.590018,0.00203411,0.0837815,0.0857106,-2.92843,-0.0797595,0.661357,0.534162,-0.317711,0.724572,0.67535,-3,0,1.17127,0.926767,0,0.786903,-0.3567,-0.000898123,0.0696146,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.6919,0.69,0.69,0.00182579,0.177588,0.152298,-2.96459,-0.0962954,0.96977,0.728247,-0.379489,0.840171,0.762442,-3,0,1.14038,0.813115,0,0.743355,-0.605875,0.345662,0.118824,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.7925,0.790005,0.790005,0.00246582,0.318078,0.241633,-3.00679,-0.119546,1.2697,0.855592,-0.359167,0.952482,0.837532,-3,0,1.10498,0.686613,0,0.700731,-0.683991,0.566468,0.137362,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.8925,0.89002,0.89002,0.00248478,0.492564,0.335159,-3.04234,-0.155724,1.51158,0.87721,-0.272311,1.06104,0.899416,-3,0,1.06522,0.549267,0,0.680328,-0.6354,0.673945,0.212414,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.992,0.990005,0.990005,0.00191191,0.674534,0.41472,-3.06411,-0.19089,1.66751,0.822802,-0.169075,1.16539,0.9471,-3,0,1.02126,0.403303,0,0.680903,-0.519321,0.703233,0.258629,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,11.0924,1.09,1.09,0.00239495,0.881655,0.487217,-3.07489,-0.219159,1.74856,0.714926,-0.0706076,1.26514,0.979855,-3,0,0.973269,0.250962,0,0.695505,-0.413461,0.641667,0.319109,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,11.1926,1.18999,1.18999,0.00252203,1.05516,0.535297,-3.07594,-0.231122,1.74186,0.600173,-0.0145221,1.3599,0.997158,-3,0,0.921439,0.0946682,0,0.715591,-0.300946,0.507388,0.336233,0,1
