platform,controller,trajectory,traj_double,traj_short,traj_spin,time,traj_time,ref_time,comptime,x,y,z,yaw,vx,vy,vz,x_ref,y_ref,z_ref,yaw_ref,vx_ref,vy_ref,vz_ref,throttle_input,p_input,q_input,r_input,mpc_status,buffer_idx
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.0934,0.0900146,0.0900146,0.00328133,0.00682492,-0.0114068,-2.86133,0.00182899,0.00865218,0.0170331,-0.0637711,0.113055,0.112875,-3,0,1.25463,1.24861,0,0.679507,0.8,-0.8,0.8,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.1927,0.190016,0.190016,0.00252708,0.0101128,-0.00855167,-2.86854,0.00814536,0.0281175,0.0383185,-0.0652177,0.238215,0.236519,-3,0,1.24769,1.22098,0,0.689668,0.8,-0.8,0.8,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.293,0.290002,0.290002,0.00283955,0.0162052,-0.00276652,-2.87604,0.020206,0.0617326,0.0792584,-0.0553519,0.362414,0.356414,-3,0,1.23583,1.17411,0,0.71649,0.8,-0.8,0.8,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.3924,0.390001,0.390001,0.00232188,0.0301023,0.0115216,-2.88381,0.0394721,0.163207,0.189395,-0.0791187,0.485199,0.470705,-3,0,1.2191,1.10872,0,0.782226,0.596422,-0.8,0.8,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.4928,0.489994,0.489994,0.00272792,0.0523482,0.0348867,-2.89538,0.0610857,0.31484,0.353675,-0.177488,0.606063,0.577567,-3,0,1.19755,1.02585,0,0.815078,-0.0265164,-0.593009,0.407101,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.5932,0.590014,0.590014,0.00306845,0.108065,0.0912937,-2.92554,0.103728,0.600529,0.631681,-0.328803,0.724567,0.675345,-3,0,1.17127,0.926772,0,0.794197,-0.530727,-0.00696845,-0.0997232,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.6924,0.689999,0.689999,0.00227333,0.20364,0.179725,-2.97132,0.159166,0.92183,0.884476,-0.423458,0.84017,0.762441,-3,0,1.14038,0.813116,0,0.744786,-0.718426,0.4385,-0.411755,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.7932,0.790025,0.790025,0.00304084,0.328317,0.280099,-3.01947,0.179215,1.20802,1.01458,-0.433406,0.952504,0.837545,-3,0,1.10497,0.686586,0,0.704045,-0.672392,0.683229,-0.440088,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.8929,0.89001,0.89001,0.00272954,0.500014,0.391674,-3.06844,0.144521,1.48562,1.0124,-0.369823,1.06103,0.89941,-3,0,1.06522,0.549282,0,0.670219,-0.456409,0.8,-0.383667,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,10.994,0.990031,0.990031,0.00382995,0.684354,0.482312,-3.10292,0.0788592,1.67828,0.903896,-0.254801,1.16541,0.947111,-3,0,1.02125,0.403264,0,0.661517,-0.251138,0.8,-0.182452,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,11.0926,1.08999,1.08999,0.0025498,0.898437,0.556815,-3.12363,-0.00111025,1.79401,0.721084,-0.111861,1.26513,0.979853,-3,0,0.973273,0.250974,0,0.673979,-0.0877582,0.8,0.00470663,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,11.1936,1.19001,1.19001,0.00342749,1.09629,0.601691,-3.1277,-0.0655816,1.8047,0.531611,-0.000405896,1.35992,0.99716,-3,0,0.921428,0.0946354,0,0.698458,-0.0334496,0.637688,0.114264,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,11.2945,1.29003,1.29003,0.00428385,1.29657,0.627355,-3.12028,-0.113151,1.71207,0.333491,0.0708288,1.44933,0.998735,-3,0,0.86595,-0.0631825,0,0.722718,-0.0299254,0.411415,0.108355,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,11.3924,1.39,1.39,0.00233473,1.45832,0.633452,-3.10787,-0.135967,1.55063,0.168141,0.0991806,1.53298,0.984565,-3,0,0.80708,-0.219936,0,0.737462,-0.0605773,0.213538,-0.00872569,0,1
sim,nmpc_acados_px4_cpp,f8_contraction,NormSpd,NotShort,NoSpin,11.4922,1.49001,1.49001,0.00211858,1.60297,0.623955,-3.09299,-0.147413,1.32532,0.0035569,0.105069,1.61062,0.954863,-3,0,0.745002,-0.373281,0,0.743758,-0.0644864,0.0387811,-0.148452,0,1
