platform,controller,trajectory,traj_double,traj_short,traj_spin,time,traj_time,ref_time,comptime,x,y,z,yaw,vx,vy,vz,x_ref,y_ref,z_ref,yaw_ref,vx_ref,vy_ref,vz_ref,throttle_input,p_input,q_input,r_input,mpc_status,buffer_idx
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.0903,0.0901839,0.0901839,0.00214696,0.00174212,-0.0148249,-2.86011,0.000803941,0.00384813,0.019686,0.0217934,0.598613,0.0407668,-2.00361,0.0161898,-0.0307375,0.451344,-0.04,0.459948,0.428304,-0.470012,0.188342,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.1902,0.190106,0.190106,0.00181359,0.001873,-0.0130868,-2.85193,0.00171209,0.0121761,0.0258983,0.105658,0.593847,0.0857076,-2.0076,0.0341277,-0.064622,0.44775,-0.04,0.492246,0.433436,-0.405387,0.212129,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.2902,0.290136,0.290136,0.00243073,0.00293034,-0.0101716,-2.83613,0.00457945,0.0275511,0.0410747,0.135084,0.585701,0.13021,-2.01161,0.0520852,-0.0981762,0.441608,-0.04,0.512859,0.427822,-0.342775,0.23239,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.3902,0.390119,0.390119,0.00213263,0.00582541,-0.00514762,-2.80779,0.00876833,0.0417737,0.0565659,0.43544,0.574231,0.173952,-2.0156,0.0700341,-0.131157,0.43296,-0.04,0.571203,0.391984,-0.249216,0.253351,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.4903,0.490155,0.490155,0.00184917,0.0122192,0.00402425,-2.74035,0.016415,0.0809261,0.102359,0.714902,0.55949,0.216728,-2.01961,0.0879924,-0.163409,0.421846,-0.04,0.657833,0.214221,-0.0545034,0.265762,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.5902,0.590148,0.590148,0.00174178,0.0238274,0.0195974,-2.65481,0.0291328,0.138683,0.183569,0.83871,0.541576,0.258254,-2.02361,0.105943,-0.194719,0.408339,-0.04,0.71038,-0.0123087,0.128693,0.274252,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.6903,0.69016,0.69016,0.00249099,0.0447003,0.0490261,-2.5528,0.0522208,0.205613,0.300523,0.876387,0.520582,0.29832,-2.02761,0.123897,-0.224928,0.392509,-0.04,0.738928,-0.179623,0.246132,0.266054,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.7902,0.790145,0.790145,0.00223349,0.0711249,0.0892253,-2.45924,0.0831717,0.253013,0.41185,0.854017,0.496635,0.336681,-2.03161,0.141847,-0.253851,0.374454,-0.04,0.75828,-0.282879,0.30428,0.251123,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.8901,0.890036,0.890036,0.00197632,0.101248,0.140009,-2.37218,0.122374,0.273639,0.506254,0.791643,0.469894,0.373095,-2.0356,0.159779,-0.281307,0.354291,-0.04,0.770387,-0.303896,0.309317,0.221003,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.9903,0.990159,0.990159,0.00247888,0.13472,0.203471,-2.28933,0.170954,0.26171,0.573899,0.693089,0.440417,0.407472,-2.03961,0.177753,-0.307226,0.332066,-0.04,0.779033,-0.272617,0.270495,0.187065,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.0904,1.09031,1.09031,0.00234568,0.160787,0.260264,-2.23056,0.208394,0.227859,0.596715,0.592497,0.408422,0.439536,-2.04361,0.195732,-0.331402,0.307943,-0.04,0.782966,-0.211632,0.220782,0.151648,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.1902,1.19009,1.19009,0.00215469,0.185676,0.325801,-2.17501,0.243396,0.16806,0.583433,0.466056,0.374229,0.468991,-2.0476,0.213645,-0.353611,0.282162,-0.04,0.783339,-0.145163,0.174301,0.131683,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.2902,1.29012,1.29012,0.00156777,0.200884,0.380788,-2.13772,0.265185,0.100191,0.53938,0.350875,0.337829,0.495854,-2.0516,0.231601,-0.373865,0.254717,-0.04,0.7796,-0.0737699,0.106747,0.120723,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.3903,1.39016,1.39016,0.00163922,0.207795,0.431736,-2.11118,0.27962,0.0190564,0.469885,0.23625,0.299502,0.519903,-2.05561,0.249561,-0.391997,0.225819,-0.04,0.773352,-0.0241549,0.0517713,0.124419,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.4902,1.49015,1.49015,0.00180102,0.205618,0.469796,-2.09772,0.286485,-0.0587989,0.397219,0.145414,0.259494,0.540983,-2.05961,0.267511,-0.407892,0.195654,-0.04,0.764735,0.00623329,-0.00570408,0.136733,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.5902,1.59019,1.59019,0.00248239,0.193985,0.501981,-2.09341,0.291789,-0.143302,0.319007,0.065862,0.217989,0.559,-2.06361,0.28547,-0.421476,0.16436,-0.04,0.756319,0.0143791,-0.0452709,0.154303,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.6903,1.69018,1.69018,0.00226288,0.174434,0.524626,-2.09618,0.29755,-0.218232,0.252854,0.0111507,0.175265,0.573831,-2.06761,0.30342,-0.432658,0.132147,-0.04,0.747495,0.00823853,-0.0816146,0.170457,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.7903,1.79023,1.79023,0.00226903,0.14368,0.543289,-2.10405,0.30741,-0.29245,0.189733,-0.0297558,0.131522,0.585408,-2.07161,0.321381,-0.441387,0.0991649,-0.04,0.740561,-0.00616194,-0.101427,0.183718,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.8902,1.89015,1.89015,0.00246224,0.110601,0.555142,-2.11336,0.318612,-0.347107,0.14343,-0.0518152,0.0870874,0.593646,-2.07561,0.339318,-0.447599,0.0656624,-0.04,0.734868,-0.0230424,-0.111215,0.192521,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.9904,1.99026,1.99026,0.00211516,0.0688024,0.565097,-2.12477,0.332524,-0.396098,0.0994486,-0.0652225,0.042071,0.598523,-2.07961,0.357291,-0.451276,0.0317208,-0.04,0.730537,-0.03937,-0.112355,0.198679,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,12.0902,2.09008,2.09008,0.00225712,0.0183127,0.573044,-2.1374,0.348312,-0.436048,0.0576429,-0.0701581,-0.00305041,0.599992,-2.0836,0.37521,-0.452383,-0.00229996,-0.04,0.727164,-0.0528347,-0.111663,0.202313,0,0
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,12.1903,2.19018,2.19018,0.00217185,-0.0355626,0.577667,-2.14921,0.365004,-0.462082,0.0189236,-0.0676757,-0.0482862,0.598054,-2.08761,0.393181,-0.450922,-0.036407,-0.04,0.725596,-0.0605016,-0.1009,0.206005,0,0
