platform,controller,trajectory,traj_double,traj_short,traj_spin,time,traj_time,ref_time,comptime,x,y,z,yaw,vx,vy,vz,x_ref,y_ref,z_ref,yaw_ref,vx_ref,vy_ref,vz_ref,throttle_input,p_input,q_input,r_input,mpc_status,buffer_idx
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.0042,2.8e-08,2.8e-08,0.00399497,0.133018,-0.0318087,-2.85041,0.00237087,-0.0501635,0.128764,-0.0788437,0.6,1.26669e-08,-2,5.02655e-09,-9.55062e-09,0.452389,-0.04,0.387297,0.682066,-0.8,0.0787018,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.1032,0.100007,0.100007,0.00306803,0.133026,-0.0127364,-2.85431,8.28513e-05,-0.0566639,0.124092,0.0209629,0.598295,0.045199,-2.004,0.0179531,-0.0340793,0.451104,-0.04,0.472133,0.363483,-0.418122,0.194157,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.2029,0.200046,0.200046,0.00273703,0.132992,0.00603981,-2.8461,-0.0020853,-0.0542293,0.125412,0.10148,0.593188,0.0901559,-2.008,0.0359122,-0.0679759,0.447253,-0.04,0.499119,0.360447,-0.356904,0.221011,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.3028,0.299978,0.299978,0.00268442,0.133913,0.0272781,-2.83026,-0.00261261,-0.0459292,0.131494,0.152311,0.584718,0.134553,-2.012,0.0538519,-0.10145,0.440867,-0.04,0.520088,0.354353,-0.300345,0.246183,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.4032,0.399964,0.399964,0.00310961,0.135701,0.0479854,-2.79674,-0.000275045,-0.0326027,0.142538,0.480577,0.572924,0.178209,-2.016,0.0718014,-0.134367,0.431974,-0.04,0.603335,0.2777,-0.170092,0.268043,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.5027,0.499976,0.499976,0.00261527,0.139818,0.073127,-2.72509,0.00711068,0.00381323,0.179931,0.731254,0.55787,0.220865,-2.02,0.0897555,-0.166528,0.420624,-0.04,0.673545,0.0990898,0.00725894,0.282747,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.6036,0.600009,0.600009,0.00349503,0.147943,0.101822,-2.63838,0.0204572,0.0532482,0.2427,0.841309,0.539641,0.262273,-2.024,0.107713,-0.197749,0.40688,-0.04,0.714957,-0.0623441,0.14029,0.284335,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.7065,0.700024,0.700024,0.00633288,0.162984,0.14089,-2.53694,0.043285,0.108246,0.326557,0.87126,0.518349,0.302183,-2.028,0.125668,-0.227841,0.390826,-0.04,0.743344,-0.181364,0.226968,0.276675,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.8058,0.799996,0.799996,0.00569506,0.182562,0.183511,-2.44559,0.0717726,0.146319,0.399722,0.842061,0.494121,0.34036,-2.032,0.143615,-0.256625,0.372558,-0.04,0.760908,-0.221739,0.264574,0.262416,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,10.9054,0.900013,0.900013,0.00524729,0.208243,0.234515,-2.35521,0.107216,0.164895,0.457967,0.767145,0.467074,0.376619,-2.036,0.16157,-0.283964,0.352165,-0.04,0.773417,-0.209609,0.262018,0.23924,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.0056,1.00003,1.00003,0.00547039,0.23106,0.279728,-2.28849,0.137331,0.159216,0.484034,0.679983,0.437371,0.410739,-2.04,0.179526,-0.30969,0.32977,-0.04,0.779752,-0.169303,0.244084,0.223221,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.1057,1.1,1.1,0.0055828,0.25422,0.328599,-2.22753,0.167645,0.131128,0.48671,0.570033,0.405199,0.442509,-2.044,0.197472,-0.333644,0.305512,-0.04,0.782298,-0.118289,0.201569,0.206565,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.2057,1.2,1.2,0.00556501,0.274076,0.378858,-2.17669,0.19591,0.0785072,0.463883,0.445393,0.370716,0.471773,-2.048,0.215423,-0.355708,0.279513,-0.04,0.7805,-0.0701518,0.139895,0.192195,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.309,1.3001,1.3001,0.00876401,0.284655,0.417849,-2.14586,0.216106,0.0202239,0.429654,0.343078,0.334087,0.498383,-2.052,0.233394,-0.375772,0.251896,-0.04,0.77634,-0.0398827,0.0952112,0.187909,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.4089,1.40002,1.40002,0.00876504,0.287954,0.458641,-2.12243,0.236119,-0.059962,0.379059,0.233276,0.295629,0.522115,-2.056,0.251331,-0.393665,0.222899,-0.04,0.768696,-0.0230229,0.0321004,0.185296,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.508,1.50005,1.50005,0.00778209,0.280952,0.490785,-2.11134,0.252371,-0.13979,0.328022,0.148046,0.255447,0.542906,-2.06,0.269289,-0.409342,0.192602,-0.04,0.760832,-0.0196099,-0.0161304,0.187172,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.6086,1.60005,1.60005,0.00842511,0.262431,0.520281,-2.10772,0.267849,-0.226337,0.273713,0.074902,0.213827,0.560605,-2.064,0.28724,-0.422686,0.161222,-0.04,0.752152,-0.0268914,-0.0620929,0.190621,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.7088,1.70004,1.70004,0.00859629,0.235383,0.543313,-2.10968,0.280913,-0.301937,0.22662,0.0245754,0.170992,0.575119,-2.068,0.305191,-0.433629,0.128925,-0.04,0.745087,-0.0393585,-0.0902968,0.197169,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.8089,1.80002,1.80002,0.00869363,0.196476,0.564739,-2.11534,0.29308,-0.375665,0.180701,-0.0139509,0.127196,0.586363,-2.072,0.323139,-0.442107,0.0959035,-0.04,0.738504,-0.0557447,-0.115687,0.205547,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,11.9087,1.90002,1.90002,0.008532,0.153138,0.582772,-2.12202,0.302296,-0.433305,0.143384,-0.0362449,0.0826653,0.594278,-2.076,0.341091,-0.448075,0.0623282,-0.04,0.734209,-0.0732278,-0.123253,0.217111,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,12.0089,2.00007,2.00007,0.00867727,0.104352,0.59945,-2.12879,0.309817,-0.478833,0.109686,-0.0488413,0.0376432,0.598818,-2.08,0.359052,-0.451498,0.0283823,-0.04,0.731525,-0.0879443,-0.120569,0.23172,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,12.1077,2.10003,2.10003,0.00754429,0.0515008,0.614612,-2.13521,0.316354,-0.511504,0.0769341,-0.0550002,-0.00755429,0.599952,-2.084,0.376997,-0.452353,-0.0056958,-0.04,0.730124,-0.0956363,-0.112303,0.246867,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,12.2085,2.20003,2.20003,0.00836813,-0.00841004,0.628712,-2.142,0.324304,-0.532201,0.0398476,-0.0583347,-0.0527245,0.597679,-2.088,0.394949,-0.450639,-0.0397533,-0.04,0.729257,-0.0923481,-0.102513,0.261859,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,12.306,2.30001,2.30001,0.00590004,-0.0645582,0.63836,-2.14816,0.334318,-0.538171,0.00165557,-0.0594102,-0.0975866,0.592011,-2.092,0.412897,-0.446366,-0.0735786,-0.04,0.729064,-0.0814664,-0.086712,0.27407,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,12.4062,2.4,2.4,0.0060213,-0.125035,0.643892,-2.15481,0.349368,-0.53181,-0.0454946,-0.0597288,-0.141899,0.582979,-2.096,0.430847,-0.439556,-0.106989,-0.04,0.728908,-0.057771,-0.0748404,0.277357,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,12.5036,2.50003,2.50003,0.00344913,-0.179465,0.643729,-2.16078,0.366659,-0.516154,-0.0934073,-0.0592017,-0.185424,0.570629,-2.1,0.448805,-0.430244,-0.139806,-0.04,0.728925,-0.0351771,-0.0608548,0.278415,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,12.6036,2.60004,2.60004,0.00342421,-0.227156,0.638608,-2.16624,0.384987,-0.494629,-0.139829,-0.058694,-0.227884,0.555039,-2.104,0.466758,-0.41849,-0.171821,-0.04,0.728973,-0.0165188,-0.0453772,0.276798,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,12.704,2.70002,2.70002,0.0038871,-0.2798,0.626367,-2.173,0.409419,-0.462552,-0.195681,-0.0578136,-0.269038,0.536301,-2.108,0.484706,-0.404361,-0.20285,-0.04,0.72844,0.00840166,-0.0374342,0.269074,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,12.804,2.80008,2.80008,0.00373319,-0.324585,0.609092,-2.17949,0.433587,-0.428433,-0.245967,-0.0563592,-0.308696,0.514497,-2.112,0.50267,-0.387921,-0.232751,-0.04,0.727998,0.0256117,-0.0296786,0.260285,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,12.9039,2.90001,2.90001,0.00371328,-0.369487,0.583659,-2.18669,0.460631,-0.390175,-0.298036,-0.0541124,-0.346549,0.4898,-2.116,0.520609,-0.3693,-0.261292,-0.04,0.727328,0.0428673,-0.0291397,0.247856,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,13.0039,3.00002,3.00002,0.00371632,-0.408259,0.55458,-2.19342,0.485258,-0.355409,-0.341603,-0.0513227,-0.382462,0.462302,-2.12,0.538563,-0.348567,-0.288369,-0.04,0.726912,0.0487079,-0.029679,0.23872,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,13.1042,3.10002,3.10002,0.00402626,-0.4475,0.517506,-2.20079,0.510756,-0.319552,-0.383388,-0.0475089,-0.416198,0.43218,-2.124,0.556514,-0.325856,-0.313806,-0.04,0.72645,0.0527558,-0.0359416,0.228425,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,13.204,3.2,3.2,0.00382739,-0.480621,0.478648,-2.20733,0.533386,-0.28741,-0.415935,-0.0433047,-0.447565,0.399607,-2.128,0.574463,-0.301296,-0.337456,-0.04,0.726371,0.0497267,-0.0383979,0.222048,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,13.3043,3.30002,3.30002,0.00414302,-0.512801,0.43253,-2.21354,0.557061,-0.253146,-0.444761,-0.0385763,-0.476401,0.36475,-2.132,0.592419,-0.275015,-0.359198,-0.04,0.726464,0.0484579,-0.041776,0.214316,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,13.4045,3.40002,3.40002,0.00431182,-0.539382,0.38737,-2.21872,0.578157,-0.221856,-0.464913,-0.0344702,-0.502522,0.327829,-2.136,0.61037,-0.247177,-0.378892,-0.04,0.726852,0.0408144,-0.0402057,0.210241,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,13.5047,3.5,3.5,0.00456392,-0.565071,0.336725,-2.22361,0.600056,-0.188619,-0.479863,-0.0308081,-0.525785,0.289051,-2.14,0.628319,-0.217939,-0.396432,-0.04,0.727272,0.034529,-0.0397124,0.205108,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,13.6068,3.60003,3.60003,0.00660837,-0.584336,0.293342,-2.22736,0.617953,-0.160599,-0.487127,-0.0290548,-0.54607,0.248611,-2.144,0.646277,-0.187449,-0.411727,-0.04,0.727793,0.0202424,-0.03396,0.204921,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,13.7066,3.70003,3.70003,0.00643639,-0.602662,0.246142,-2.23124,0.637247,-0.130053,-0.489974,-0.0276616,-0.563246,0.206772,-2.148,0.664228,-0.155902,-0.424677,-0.04,0.728228,0.0104219,-0.0297904,0.203135,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,13.8073,3.80006,3.80006,0.00706308,-0.619819,0.195959,-2.23569,0.658059,-0.0964451,-0.488398,-0.0271714,-0.577224,0.163743,-2.152,0.682186,-0.12346,-0.435217,-0.04,0.728382,0.0040327,-0.0255802,0.199275,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,13.9088,3.90005,3.90005,0.00860182,-0.632615,0.150162,-2.24006,0.67731,-0.0646399,-0.484277,-0.0272944,-0.587917,0.119804,-2.156,0.700135,-0.0903302,-0.443279,-0.04,0.728465,-0.00317402,-0.0202486,0.197539,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,14.0085,4.00003,4.00003,0.00828885,-0.642457,0.100522,-2.24441,0.697968,-0.0290866,-0.478399,-0.0273088,-0.59527,0.0751869,-2.16,0.718084,-0.0566896,-0.448823,-0.04,0.728564,-0.000891069,-0.0162653,0.193863,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,14.1063,4.10001,4.10001,0.00611233,-0.647851,0.0508405,-2.24781,0.718399,0.00759359,-0.471986,-0.0273972,-0.599243,0.0301399,-2.164,0.736033,-0.022725,-0.451818,-0.04,0.728883,0.00548295,-0.0135378,0.190611,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,14.2055,4.2,4.2,0.0053301,-0.648478,0.00899906,-2.24962,0.735676,0.0397033,-0.466094,-0.0279225,-0.59981,-0.0150798,-2.168,0.753983,0.0113699,-0.452246,-0.04,0.729574,0.00432198,-0.010913,0.191288,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,14.3075,4.30006,4.30006,0.00732585,-0.644857,-0.0361599,-2.25103,0.754826,0.0750416,-0.458994,-0.0295768,-0.596968,-0.0602435,-2.172,0.771945,0.0454225,-0.450103,-0.04,0.73016,0.00896307,-0.00894555,0.189781,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,14.4069,4.40001,4.40001,0.0067437,-0.63597,-0.0847732,-2.25245,0.775663,0.113933,-0.45035,-0.0327634,-0.590738,-0.105017,-2.176,0.789887,0.0791809,-0.445406,-0.04,0.730466,0.0212999,-0.00626589,0.185923,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,14.5098,4.49993,4.49993,0.00973901,-0.623213,-0.129648,-2.25455,0.794659,0.149566,-0.441841,-0.0360753,-0.581157,-0.149185,-2.18,0.807826,0.112483,-0.438182,-0.04,0.73056,0.0283239,-0.00553416,0.184359,0,1
sim,nmpc_acados_px4_cpp,helix,NormSpd,NotShort,Spin,14.6085,4.60003,4.60003,0.0083712,-0.604981,-0.178238,-2.25829,0.814685,0.186522,-0.431737,-0.0406875,-0.568255,-0.192579,-2.184,0.825795,0.145201,-0.428454,-0.04,0.730013,0.0385071,-0.00696496,0.181513,0,1
